,time_period,rainfall,mean_temperature,population,parent,location
0,2017-01,386.534,24.44,733678.522672603,-,Acre
1,2017-02,271.348,24.89,733678.522672603,-,Acre
2,2017-03,301.901,24.82,733678.522672603,-,Acre
3,2017-04,202.661,24.88,733678.522672603,-,Acre
4,2017-05,149.251,24.93,733678.522672603,-,Acre
5,2017-06,57.723,23.92,733678.522672603,-,Acre
0,2017-01,30.621,26.55,1939232.32925536,-,Alagoas
1,2017-02,27.508,26.81,1939232.32925536,-,Alagoas
2,2017-03,44.26,26.97,1939232.32925536,-,Alagoas
3,2017-04,74.839,26.02,1939232.32925536,-,Alagoas
4,2017-05,155.31,24.72,1939232.32925536,-,Alagoas
5,2017-06,140.805,23.25,1939232.32925536,-,Alagoas
0,2017-01,264.577,25.4,482707.739091826,-,Amapa
1,2017-02,314.046,24.77,482707.739091826,-,Amapa
2,2017-03,231.679,25.42,482707.739091826,-,Amapa
3,2017-04,142.662,25.36,482707.739091826,-,Amapa
4,2017-05,50.838,25.68,482707.739091826,-,Amapa
5,2017-06,8.182,24.67,482707.739091826,-,Amapa
0,2017-01,100.233,25.08,3922237.75063418,-,Amazonas
1,2017-02,142.527,23.73,3922237.75063418,-,Amazonas
2,2017-03,97.932,24.07,3922237.75063418,-,Amazonas
3,2017-04,34.531,23.05,3922237.75063418,-,Amazonas
4,2017-05,42.657,21.31,3922237.75063418,-,Amazonas
5,2017-06,9.978,20.38,3922237.75063418,-,Amazonas
0,2017-01,346.29,24.82,14966698.5655249,-,Bahia
1,2017-02,376.525,24.55,14966698.5655249,-,Bahia
2,2017-03,361.722,24.88,14966698.5655249,-,Bahia
3,2017-04,316.033,25.08,14966698.5655249,-,Bahia
4,2017-05,154.528,25.81,14966698.5655249,-,Bahia
5,2017-06,78.128,26.04,14966698.5655249,-,Bahia
0,2017-01,27.932,27.32,8433243.93239153,-,Ceara
1,2017-02,63.939,26.84,8433243.93239153,-,Ceara
2,2017-03,85.884,26.33,8433243.93239153,-,Ceara
3,2017-04,61.695,26.48,8433243.93239153,-,Ceara
4,2017-05,74.28,25.7,8433243.93239153,-,Ceara
5,2017-06,51.802,24.51,8433243.93239153,-,Ceara
0,2017-01,208.773,23.41,13162712.8505577,-,DistritoFederal
1,2017-02,139.674,23.78,13162712.8505577,-,DistritoFederal
2,2017-03,125.277,22.25,13162712.8505577,-,DistritoFederal
3,2017-04,115.188,19.73,13162712.8505577,-,DistritoFederal
4,2017-05,186.42,18.66,13162712.8505577,-,DistritoFederal
5,2017-06,113.992,15.95,13162712.8505577,-,DistritoFederal
0,2017-01,27.389,27.07,3666811.37849717,-,EspiritoSanto
1,2017-02,33.86,26.84,3666811.37849717,-,EspiritoSanto
2,2017-03,68.133,26.74,3666811.37849717,-,EspiritoSanto
3,2017-04,51.738,25.76,3666811.37849717,-,EspiritoSanto
4,2017-05,75.381,24.75,3666811.37849717,-,EspiritoSanto
5,2017-06,52.54,23.05,3666811.37849717,-,EspiritoSanto
0,2017-01,135.155,27.22,7031019.90947438,-,Goias
1,2017-02,234.681,25.63,7031019.90947438,-,Goias
2,2017-03,198.936,25.64,7031019.90947438,-,Goias
3,2017-04,103.977,26.35,7031019.90947438,-,Goias
4,2017-05,28.207,27.38,7031019.90947438,-,Goias
5,2017-06,2.516,27.04,7031019.90947438,-,Goias
0,2017-01,315.987,25.17,5398479.73975255,-,Maranhao
1,2017-02,296.119,24.91,5398479.73975255,-,Maranhao
2,2017-03,268.818,25.25,5398479.73975255,-,Maranhao
3,2017-04,176.092,25.14,5398479.73975255,-,Maranhao
4,2017-05,105.178,25.39,5398479.73975255,-,Maranhao
5,2017-06,22.002,24.74,5398479.73975255,-,Maranhao
0,2017-01,196.052,24.91,3042394.12722741,-,MatoGrosso
1,2017-02,157.62,24.98,3042394.12722741,-,MatoGrosso
2,2017-03,245.283,25.06,3042394.12722741,-,MatoGrosso
3,2017-04,230.127,25.3,3042394.12722741,-,MatoGrosso
4,2017-05,359.64,24.85,3042394.12722741,-,MatoGrosso
5,2017-06,344.707,24.45,3042394.12722741,-,MatoGrosso
0,2017-01,219.024,22.28,21908005.3518378,-,MinasGerais
1,2017-02,147.904,22.63,21908005.3518378,-,MinasGerais
2,2017-03,125.56,20.48,21908005.3518378,-,MinasGerais
3,2017-04,115.547,17.73,21908005.3518378,-,MinasGerais
4,2017-05,250.375,16.56,21908005.3518378,-,MinasGerais
5,2017-06,138.278,14.14,21908005.3518378,-,MinasGerais
0,2017-01,368.583,24.32,7599357.33724809,-,Para
1,2017-02,345.472,24.34,7599357.33724809,-,Para
2,2017-03,430.044,24.32,7599357.33724809,-,Para
3,2017-04,427.196,24.89,7599357.33724809,-,Para
4,2017-05,275.797,25.28,7599357.33724809,-,Para
5,2017-06,227.882,24.94,7599357.33724809,-,Para
0,2017-01,301.285,24.36,3032536.51135993,-,Paraiba
1,2017-02,108.616,25.0,3032536.51135993,-,Paraiba
2,2017-03,137.575,23.76,3032536.51135993,-,Paraiba
3,2017-04,96.779,22.12,3032536.51135993,-,Paraiba
4,2017-05,106.764,20.64,3032536.51135993,-,Paraiba
5,2017-06,31.0,18.6,3032536.51135993,-,Paraiba
0,2017-01,21.943,26.93,11596972.0803264,-,Parana
1,2017-02,31.164,27.01,11596972.0803264,-,Parana
2,2017-03,38.956,27.11,11596972.0803264,-,Parana
3,2017-04,76.956,26.23,11596972.0803264,-,Parana
4,2017-05,114.03,24.93,11596972.0803264,-,Parana
5,2017-06,119.908,23.51,11596972.0803264,-,Parana
0,2017-01,248.819,26.08,6122550.05195105,-,Pernambuco
1,2017-02,383.832,25.08,6122550.05195105,-,Pernambuco
2,2017-03,215.026,25.84,6122550.05195105,-,Pernambuco
3,2017-04,148.28,26.27,6122550.05195105,-,Pernambuco
4,2017-05,18.915,27.33,6122550.05195105,-,Pernambuco
5,2017-06,2.86,26.92,6122550.05195105,-,Pernambuco
0,2017-01,353.699,25.11,3360967.66738173,-,Piaui
1,2017-02,301.536,25.35,3360967.66738173,-,Piaui
2,2017-03,361.724,25.4,3360967.66738173,-,Piaui
3,2017-04,309.968,25.5,3360967.66738173,-,Piaui
4,2017-05,228.257,25.81,3360967.66738173,-,Piaui
5,2017-06,146.592,25.5,3360967.66738173,-,Piaui
0,2017-01,27.757,26.67,1683229.53896788,-,Rondonia
1,2017-02,85.502,25.51,1683229.53896788,-,Rondonia
2,2017-03,71.987,26.05,1683229.53896788,-,Rondonia
3,2017-04,54.695,25.07,1683229.53896788,-,Rondonia
4,2017-05,31.716,24.31,1683229.53896788,-,Rondonia
5,2017-06,21.461,23.06,1683229.53896788,-,Rondonia
0,2017-01,85.166,27.2,397797.722465312,-,Roraima
1,2017-02,180.285,26.11,397797.722465312,-,Roraima
2,2017-03,224.722,25.19,397797.722465312,-,Roraima
3,2017-04,126.503,25.7,397797.722465312,-,Roraima
4,2017-05,74.36,26.06,397797.722465312,-,Roraima
5,2017-06,18.338,26.32,397797.722465312,-,Roraima
0,2017-01,106.698,23.7,5584876.62046757,-,SantaCatarina
1,2017-02,260.11,22.15,5584876.62046757,-,SantaCatarina
2,2017-03,104.767,23.17,5584876.62046757,-,SantaCatarina
3,2017-04,23.05,22.88,5584876.62046757,-,SantaCatarina
4,2017-05,29.407,21.78,5584876.62046757,-,SantaCatarina
5,2017-06,0.902,20.72,5584876.62046757,-,SantaCatarina
0,2017-01,35.557,25.89,44967541.0592113,-,SaoPaulo
1,2017-02,94.095,24.92,44967541.0592113,-,SaoPaulo
2,2017-03,81.229,25.1,44967541.0592113,-,SaoPaulo
3,2017-04,38.688,23.66,44967541.0592113,-,SaoPaulo
4,2017-05,69.942,21.64,44967541.0592113,-,SaoPaulo
5,2017-06,34.976,21.11,44967541.0592113,-,SaoPaulo
0,2017-01,175.895,25.25,2322750.88176009,-,Sergipe
1,2017-02,239.771,24.25,2322750.88176009,-,Sergipe
2,2017-03,148.993,24.85,2322750.88176009,-,Sergipe
3,2017-04,57.602,24.75,2322750.88176009,-,Sergipe
4,2017-05,27.526,24.36,2322750.88176009,-,Sergipe
5,2017-06,1.386,23.11,2322750.88176009,-,Sergipe
0,2017-01,264.304,25.58,1313317.37805607,-,Tocantins
1,2017-02,317.496,25.11,1313317.37805607,-,Tocantins
2,2017-03,304.191,25.26,1313317.37805607,-,Tocantins
3,2017-04,199.978,25.74,1313317.37805607,-,Tocantins
4,2017-05,90.339,26.37,1313317.37805607,-,Tocantins
5,2017-06,25.981,26.82,1313317.37805607,-,Tocantins
